LONGITUDE,LATITUDE,DIS_LAKE,DIS_MAJOR_RIVER,DIS_OCEAN,PRECI_AVG,TEMP_AVG
-105,60,1341123.0,1821726.0,1553326.0,327.8310344827586,-6.059123517241381
-104,60,1370769.0,1854316.0,1607200.0,297.89310344827584,-7.3244971724137935
-103,60,1355896.0,1888431.0,1661281.0,275.41896896551725,-7.801077551724139
-102,60,1336853.0,1923987.0,1715546.0,264.2379275862069,-8.298275620689656
-101,60,1320404.0,1960807.0,1769969.0,276.2,-8.36752848275862
-100,60,1306635.0,1998612.0,1824531.0,292.0818965517241,-8.377729827586208
-99,60,1295670.0,2037638.0,1879214.0,306.64310344827584,-8.47528744827586
-98,60,1287582.0,2041791.0,1934000.0,337.58965862068965,-8.481321758620691
-97,60,1282425.0,2028011.0,1988876.0,365.48534482758623,-8.814223896551724
-96,60,1280237.0,2016243.0,2024832.0,376.0086206896551,-8.70596248275862
-95,60,1291289.0,2019652.0,1996322.0,372.8017206896552,-8.533908103448276
-77,60,1035031.0,1561666.0,1294323.0,438.9448310344827,-7.03943972413793
-76,60,1000886.0,1550309.0,1266312.0,435.99137931034477,-7.383476931034484
-75,60,969349.4,1541736.0,1240372.0,430.848275862069,-7.5579023103448275
-74,60,940520.4,1535704.0,1194795.0,424.04569310344834,-7.336278689655175
-73,60,914659.1,1532244.0,1149590.0,422.9939655172414,-6.978879241379311
-72,60,892027.0,1530713.0,1104926.0,425.0862068965517,-6.7306753793103455
-105,61,1389800.0,1913877.0,1581027.0,269.24655172413793,-7.735129551724139
-104,61,1437808.0,1944239.0,1633312.0,260.6724137931035,-8.099137896551724
-103,61,1460077.0,1976086.0,1685839.0,257.5948275862069,-8.542528517241381
-102,61,1442804.0,2009343.0,1738379.0,270.8775862068965,-8.549569103448276
-101,61,1427884.0,2043937.0,1790934.0,305.82672413793097,-8.474496896551724
-100,61,1415445.0,2079798.0,1843695.0,300.5172413793104,-8.592672689655172
-99,61,1405555.0,2116736.0,1896641.0,297.6922413793103,-8.769396310344826
-98,61,1398268.0,2149361.0,1949748.0,307.0439655172414,-9.042815827586207
-97,61,1393627.0,2136567.0,2003000.0,324.7724137931035,-9.640948517241378
-96,61,1391658.0,2125649.0,2056377.0,333.6525862068965,-9.813074689655172
-78,61,1155253.0,1684201.0,1311129.0,378.62529310344814,-7.938218137931037
-77,61,1123042.0,1670190.0,1269763.0,381.91896551724136,-8.451077620689658
-76,61,1092500.0,1660075.0,1223517.0,374.49999655172417,-9.15847748275862
-75,61,1064331.0,1652249.0,1177607.0,386.14827586206894,-9.130028827586205
-74,61,1038732.0,1646747.0,1132080.0,396.1275862068965,-9.549281758620685
