iter	Passed	Remaining
652	49157	26122
653	49230	26045
654	49310	25972
655	49388	25898
656	49470	25827
657	49548	25753
658	49628	25680
659	49704	25605
660	49771	25525
661	49838	25446
662	49916	25372
663	50004	25303
664	50097	25236
665	50164	25157
666	50236	25080
667	50321	25009
668	50396	24934
669	50477	24862
670	50560	24790
671	50640	24717
672	50714	24641
673	50783	24563
674	50856	24486
675	50935	24412
676	51019	24341
677	51092	24265
678	51173	24192
679	51254	24119
680	51329	24044
681	51404	23968
682	51481	23894
683	51568	23823
684	51652	23752
685	51728	23677
686	51807	23603
687	51879	23526
688	51951	23449
689	52018	23370
690	52094	23295
691	52169	23220
692	52246	23145
693	52328	23072
694	52403	22997
695	52449	22908
696	52503	22824
697	52573	22746
698	52652	22673
699	52704	22587
700	52780	22512
701	52850	22435
702	52924	22359
703	52998	22283
704	53073	22208
705	53155	22135
706	53235	22062
707	53322	21991
708	53398	21916
709	53469	21839
710	53535	21760
711	53606	21683
712	53678	21607
713	53751	21530
714	53827	21455
715	53903	21380
716	53977	21304
717	54051	21229
718	54135	21157
719	54206	21080
720	54284	21005
721	54353	20928
722	54424	20851
723	54494	20774
724	54568	20698
725	54643	20622
726	54719	20548
727	54798	20474
728	54869	20397
729	54941	20320
730	55013	20244
731	55086	20168
732	55153	20090
733	55224	20013
734	55289	19934
735	55352	19854
736	55428	19779
737	55515	19708
738	55596	19635
739	55682	19563
740	55768	19492
741	55876	19428
742	55946	19351
743	56019	19275
744	56095	19200
745	56163	19122
746	56257	19053
747	56348	18983
748	56429	18910
749	56506	18835
750	56608	18769
751	56699	18698
752	56819	18637
753	56917	18569
754	57003	18497
755	57077	18421
756	57168	18351
757	57241	18275
758	57325	18202
759	57405	18127
760	57488	18054
761	57576	17983
762	57663	17911
763	57749	17838
764	57826	17763
765	57902	17688
766	57984	17614
767	58045	17534
768	58117	17457
769	58183	17379
770	58265	17305
771	58337	17229
772	58414	17154
773	58498	17080
774	58589	17009
775	58679	16938
776	58764	16865
777	58846	16791
778	58937	16720
779	59018	16646
780	59099	16572
781	59177	16496
782	59270	16426
783	59359	16354
784	59444	16280
785	59528	16207
786	59609	16133
787	59689	16058
788	59777	15986
789	59861	15912
790	59947	15839
791	60033	15766
792	60119	15693
793	60198	15618
794	60287	15545
795	60370	15471
796	60461	15399
797	60550	15327
798	60616	15248
799	60704	15176
800	60786	15101
801	60866	15026
802	60938	14950
803	61017	14875
804	61078	14795
805	61165	14722
806	61253	14649
807	61340	14575
808	61425	14502
809	61505	14427
810	61592	14353
811	61676	14279
812	61764	14206
813	61848	14132
814	61933	14058
815	62019	13984
816	62099	13909
817	62183	13835
818	62262	13759
819	62336	13683
820	62413	13607
821	62491	13532
822	62568	13456
823	62638	13379
824	62707	13301
825	62784	13225
